id,title,authors,pub_date,venue,volume,issue,page,type,publisher,editor
tmp:gesis-ssoar-91722_ref-395_block-1933581,"Und folglich bestünde in der interprofessionellen Kooperation eine hohe Sen- sibilität und Aufmerksamkeit für das Eigene von Theologie, weil sich hier die Chance geradezu anbietet, nicht nur als Betroffene und Angehörige, sondern auch als Professionelle, dass sie ""sich über den Tod hinaus entwerfen",,2012,"und zur thanatologisch kompetenten Profession werden. Wie eingangs erwähnt empfiehlt es sich, die im Feld gebotene spirituelle Begleitung nicht allein auf eine religionsgebundene spirituelle Begleitung zu beschränken, sondern weiter zu fassen, beispielsweise, ""um die spirituelle Di- mension wieder in die moderne Medizin zu integrieren""",299,,93,journal article,,
tmp:gesis-ssoar-91722_ref-396_block-1933582,"Ähnliches gilt für die Disziplin und Profession Sozialer Arbeit. In der konkre- ten Praxis spiritueller Begleitung ergeben sich folglich ""beträchtliche Schnitt- felder für Kooperation, aber auch potenzielle Konfliktfelder",,2014,"sondern ist im Grundrecht auf Religions- freiheit der Patient_innen begründet und hat die ""Achtung individueller Spiri- tualität""",137,,,journal article,,
tmp:gesis-ssoar-91722_ref-397_block-1872413,"Eckpunkte zur Verortung von Theologie in den Studiengängen des Sozial-und Gesundheitswesens an den Katholischen Fachhochschulen in Deutschland, 25.4.2005","Rektoren, Arbeitsgemeinschaft; Fachhochschulen, Präsidenten Katholischer",2005,,,,,,,
tmp:gesis-ssoar-91722_ref-398_block-1804475,"Über das Sterben. Was wir wissen -Was wir tun kön- nen -Wie wir uns darauf einstellen, 6","Borasio, Gian Domenico",2012,Aufl. München,,,,journal article,,
tmp:gesis-ssoar-91722_ref-399_block-1719006,Geleitwort,"Borasio, Gian Domenico",2014,Soziale Arbeit in Palliative Care. Ein Handbuch für Studium und Praxis,,,16-17,book chapter,,"in: Wasner, Maria / Pankofer, Sabine (Hrsg., "
tmp:gesis-ssoar-91722_ref-400_block-1719007,"Seelsorge, in: Dies.: Es geht nichts verloren","Bucher, Rainer / Fuchs, Ottmar / Krockauer, Rainer, ",2010,"Ottmar Fuchs im Gespräch mit Rainer Bucher und Rainer Krockauer, Würzburg",,,186-206,book chapter,,
tmp:gesis-ssoar-91722_ref-401_block-1637534,Die Dunkelheit teilen,"Cassidy, Sheila",1995,Spiritualität und Praxis der Sterbebeglei- tung,,,,book chapter,,
tmp:gesis-ssoar-91722_ref-402_block-1933583,,"Frick, Eckhard / Roser, Traugott, ",2011,Spiritualität und Medizin. Gemein- same Sorge für den kranken Menschen,,,,book chapter,,"Hrsg, "
tmp:gesis-ssoar-91722_ref-403_block-1637535,"Gib Raum den Dingen. Ein Lesebuch, eingeleitet und aus- gewählt von Gerl-Falkovitz","Guardini, Romano",2013,,,,,book,Hanna-Barbara,
tmp:gesis-ssoar-91722_ref-404_block-1159638,Theologie,"Häring, Hermann / Kuschel, Karl-Josef, ",1995,"Wörterbuch des Christentums, München",,,1237-1244,book chapter,,"Drehsen, Volker; "
tmp:gesis-ssoar-91722_ref-405_block-1872414,Sorgekulturen des Sterbens. Hospizlich-palliative Kultur vom Krankenhaus bis zur Kommune,"Heller, Andreas",2015,Theologisch-Praktische Quartalsschrift,163,,115-122,book chapter,,
tmp:gesis-ssoar-91722_ref-406_block-1719008,,"Heller, Andreas / Pleschberger, Sabine / Fink, Michaela / Gronemeyer Reimer, ",2012,Die Geschichte der Hospizbewegung in Deutschland,,,,book chapter,,"Hrsg, "
tmp:gesis-ssoar-91722_ref-407_block-1375533,"Guardini, Romano","Hermanns, Manfred",1997,Who is who der Sozialen Arbeit,,,219-222,book chapter,,"Maier, Hugo"
tmp:gesis-ssoar-91722_ref-408_block-1804476,Soziale Diakonie -kulturelle Diakonie,"Höhn, Hans Joachim",2010,"Vom entschei- dend Christlichen, in: Pastoralblatt",,10,300-308,journal article,,
tmp:gesis-ssoar-91722_ref-409_block-1872415,Spiritualität und Menschenwürde in der Begleitung am Lebens- ende,"Höver, Gerhard",2011,Hospiz ist Haltung. Kurshandbuch Ehrenamt,,,114-119,book chapter,,"in: Bödiker, Marie Luise / Graf, Gerda / Schmidbauer, Horst (Hrsg., "
tmp:gesis-ssoar-91722_ref-410_block-1804477,"Hrsg.): Wegbegleitung, Trost und Hoffnung","Jungbauer, Johannes / Krockauer, Rainer, ",2013,"Interdisziplinäre Beiträge zum Umgang mit Sterben, Tod und Trauer, Opladen /",,,,book chapter,,
tmp:gesis-ssoar-91722_ref-411_block-1933584,"Wegbegleitung, Trost und Hoff- nung. Einleitende Gedanken","Jungbauer, Johannes / Krockauer, Rainer, ",2013,"Wegbegleitung, Trost und Hoff- nung. Interdisziplinäre Beiträge zum Umgang mit Sterben, Tod und Trauer, Opla- den /",,,10-16,book chapter,,"Dies, "
tmp:gesis-ssoar-91722_ref-412_block-1719009,Geleitwort,"Krockauer, Rainer",2015,Theorie als Mission. Fest-und Streitschrift zum 60. Geburtstag von Heribert W. Gärtner,,,7-8,book chapter,,"Borutta, Manfred; "
tmp:gesis-ssoar-91722_ref-413_block-1933585,Selig die Trauernden; denn sie werden getröstet werden,"Krockauer, Rainer; bauer, Johannes / Ders., ",2013,"Wegbegleitung, Trost und Hoffnung. In- terdisziplinäre Beiträge zum Umgang mit Sterben, Tod und Trauer, Opladen / Ber- lin / Toronto",,,19-48,book chapter,Jung,"Hrsg, "
tmp:gesis-ssoar-91722_ref-414_block-1872416,Ausgangspunkte einer Angewandten Theologie,"Krockauer, Rainer",2008,"Entdeckungen. Theologie und Ethik in Studium und Praxis der Sozialen Arbeit, Opladen / Farmington Hills",,,37-58,book chapter,,"Kirchlicher Fachhochschulen, Rekto"
tmp:gesis-ssoar-91722_ref-415_block-1804478,Spirituelle Begleitung in der Hospizarbeit,"Krockauer, Rainer",2006,Caritas 2007. Jahrbuch des Deutschen Caritasverbandes,,,50-53,book chapter,,"Hrsg, "
tmp:gesis-ssoar-91722_ref-416_block-2028399,Diakonische Spiritualität: Brennpunkt einer Theologie So- zialer Arbeit,"Krockauer, Rainer",2006,"Theologie und Soziale Arbeit. Handbuch für Studium, Weiterbildung und Beruf, München",,,319-329,book chapter,,"in: Ders. / Bohlen, Stefanie / Lehner, Markus (Hrsg., "
tmp:gesis-ssoar-91722_ref-417_block-1496064,Theologie Sozialer Arbeit,"Krockauer, Rainer",2006,Zehn Thesen,,,31-44,book chapter,,"in: Ders. / Bohlen, Stefanie / Lehner, Markus (Hrsg., "
tmp:gesis-ssoar-91722_ref-418_block-1933586,Aachens Hochschule für Soziale Arbeit,"Krockauer, Rainer",2003,"Von der ""Sozialen Frauenschule"" zur ""Kath. Fachhochschule NW, Abteilung Aachen"" in Burtscheid (1918-2002), in: Doerenkamp",1,,167-176,book chapter,,"Heinrich, "
tmp:gesis-ssoar-91722_ref-419_block-1719010,Sterne in der Nacht,"Krockauer, Rainer",1999,"Botschaften von Kindern an der Grenze des Lebens, München",,,,book chapter,,
tmp:gesis-ssoar-91722_ref-420_block-1982031,Sterben und Tod,"Krüger, Tim; Arbeit, Kernthemen Sozialer; Lutterbach, Würzburg; Hubertus, ",2017,,,,,,Kevelaer,
tmp:gesis-ssoar-91722_ref-421_block-1719011,Sterbebegleitung,"Mennemann, Hugo",2005,"Handbuch Sozialarbeit Sozialpädagogik, 3. Aufl. München /",,,,book chapter,,"Otto, Hans Uwe; Thiersch, Hans"
tmp:gesis-ssoar-91722_ref-422_block-1933587,,"Merten Ueli / Kaegi Urs, ",2015,"Kooperation kompakt. Kooperation als Struk- turmerkmal und Handlungsprinzip der Sozialen Arbeit, Opladen /",,,,book chapter,,"Hrsg, "
tmp:gesis-ssoar-91722_ref-423_block-2028400,Soziale Arbeit in einem stationären Hospiz: Erfahrungen im Haus Hörn. Inge Nadenau im Gespräch mit Rainer Krockauer,"Nadenau, Inge",2013,"Wegbegleitung, Trost und Hoffnung. Interdisziplinäre Beiträge zum Umgang mit Sterben, Tod und Trauer, Opladen /",,,201-216,book chapter,,"in: Jungbauer, Jo- hannes / Krockauer, Rainer (2013) (Hrsg., "
tmp:gesis-ssoar-91722_ref-424_block-1245948,Seelsorge: Sorge um die Seele,"Nauer, Doris",2014,,,,,,,
tmp:gesis-ssoar-91722_ref-425_block-1375534,Spiritual Care statt Seelsorge?,"Nauer, Doris",2015,,,,,,,
tmp:gesis-ssoar-91722_ref-426_block-1872417,Soziale Arbeit -ein unverzichtbarer Bestandteil von Pallia- tive Care?,"Pankofer, Sabine",2014,Ein Handbuch für Studium und Praxis,1,,21-31,journal article,,"in: Wasner, Maria / Pankofer, Sabine (Hrsg., "
tmp:gesis-ssoar-91722_ref-427_block-1496065,"Schlimmstenfalls wird alles gut""","Paul, Clara",2016,Gedichte der Gelassen- heit,,,,book chapter,,"Hrsg, "
tmp:gesis-ssoar-91722_ref-428_block-1637536,Grenzerfahrung Gott. Spirituelle Erfahrungen in Leid und Krankheit,"Renz, Monika",2010,,,,,,,
tmp:gesis-ssoar-91722_ref-429_block-1872418,"Spiritualität und die Frage nach dem, was heilt: Wesen, Wirkun- gen, Inhalte spiritueller Erfahrung","Renz, Monika",2006,Spiritualität in der modernen Medizin,,,35-48,book chapter,,"Heusser, Peter"
tmp:gesis-ssoar-91722_ref-430_block-1804479,Spirituelle Begleitung,"Roser, Traugott",2014,Soziale Arbeit in Palliative Care. Ein Handbuch für Studium und Praxis,,,134-140,book chapter,,"in: Wasner, Maria / Pankofer, Sabine (Hrsg., "
tmp:gesis-ssoar-91722_ref-431_block-1010455,Dieser Mensch war ich,"Salm, Christiane zu",2015,,,,,book,"Nachrufe auf das eigene Leben, München",
tmp:gesis-ssoar-91722_ref-432_block-1375535,Brücke in eine andere Welt,"Saunders, Cicely",1999,Was hinter der Hospizidee steht,,,,book chapter,,"Christoph Hörl, ; Br, Freiburg"
tmp:gesis-ssoar-91722_ref-433_block-1375536,Leben mit dem Sterben. Betreuung und medizi- nische Behandlung todkranker Menschen,"Saunders, Cicely / Baines, M., ",1991,,,,,,,
tmp:gesis-ssoar-91722_ref-434_block-122641,Zusammenarbeit,"Sennett, Richard",2012,,,,,book,"Was unsere Gesellschaft zusammenhält, München",
tmp:gesis-ssoar-91722_ref-435_block-1719012,Gott denken. Eine Einführung in die Theologie,"Sölle, Dorothee; Johann-Christoph / Mühlum, Albert / Student, Ute, ",1989,Aufl. München,,,,journal article,,
tmp:gesis-ssoar-91722_ref-436_block-1637537,"Spiritualität. Warum wir die Aufklärung weiterführen müssen, Klein Jasedow","Walach, Harald",2011,,,,,,,
tmp:gesis-ssoar-91722_ref-437_block-1496066,Soziale Arbeit in Palliative Care,,2014,Ein Handbuch für Studium und Praxis,,,,book chapter,,"Wasner, Maria / Pankofer, Sabine (Hrsg., "
tmp:gesis-ssoar-91722_ref-438_block-1719013,"Konsequenzen für Praxis, Theorie und For- schung Sozialer Arbeit in Palliative Care","Wasner, Maria / Pankofer, Sabine, ",2014,Ein Handbuch für Studium und Praxis,1,,245-256,journal article,,"Dies, "
tmp:gesis-ssoar-91722_ref-439_block-1159639,Vorwort,"Wasner, Maria / Pankofer, Sabine, ",2014,Ein Handbuch für Studium und Praxis,1,,13-15,journal article,,"Dies, "
tmp:gesis-ssoar-91722_ref-440_block-1804480,Interprofessionelle Teamarbeit,"Wasner, Maria",2014,Soziale Arbeit in Palliative Care. Ein Handbuch für Studium und Praxis,,,161-165,book chapter,,"in: Dies. / Pankofer, Sabine (Hrsg., "
tmp:gesis-ssoar-91722_ref-441_block-1872419,Aktuelle Situation in Deutschland,"Wasner, Maria",2014,Soziale Arbeit in Palliative Care. Ein Handbuch für Studium und Praxis,,,53-57,book chapter,,"in: Dies. / Pankofer, Sabine (Hrsg., "
tmp:gesis-ssoar-91722_ref-442_block-1872420,Spiritualität und Soziale Arbeit,"Wasner, Maria",2011,Spiritualität und Medizin. Gemeinsame Sorge für den kranken Men- schen,,,249-255,book chapter,,"in: Frick, Eckhart / Roser, Trau- gott (Hrsg., "
tmp:gesis-ssoar-91722_ref-443_block-1804481,"Das Geheimnis des Lebens berühren. Spiritualität bei Krank- heit, Sterben und Tod","Weiher, Erhard",2009,Eine Grammatik für Helfende,,,,journal article,,
tmp:gesis-ssoar-91722_ref-444_block-1933588,Soziale Arbeit ohne Theologie? Ein Statement,"Wiesehöfer, Hubert",2006,"Theologie und Soziale Arbeit. Handbuch für Studium, Weiterbildung und Beruf, München",,,16-18,book chapter,,"in: Krock- auer, Rainer / Bohlen, Stefanie / Lehner, Markus (Hrsg., "
tmp:gesis-ssoar-91722_ref-445_block-2028401,"November: Eröffnung der Sozialen Frauenschule in Köln, Roonstraße 36 (damalige Zentrale des KDF) durch Hedwig Dransfeld und Helene Weber 1916 -1918 Leitung: Helene Weber 1918 6","Köln, Gründung",1916,"Mai: Umzug nach Aachen in das von den Franziskanerin- nen geleitete Marienheim (Mägdehaus der Marianischen Dienstboten-Kongregation), Bergdriesch 44 1918 -1920 Leitung: Oberlehrerin Maria Brinkmann (nebenamtlich",,,,book chapter,,
tmp:gesis-ssoar-91722_ref-446_block-1637538,"Prüfungsrichtlinien für Wohlfahrtspflegerinnen Schwerpunkte: Gesundheitsfürsorge, Jugendwohlfahrtspfle- ge oder Berufs-und Wirtschaftsfürsorge 1920 -1921 Leitung: Studienrätin Dr. Hedwig Vonschott 1920 -1936 Geschäftsführung: Ina Alt 1921 -1957 Direktorin: Dr. Maria Offenberg, mit Unterbrechung von 1941 bis 1946 1925 13. März: Hedwig Dransfeld gestorben","Wohlfahrtsschule, Anerkennung",1871,,,,,,,
tmp:gesis-ssoar-91722_ref-447_block-1496067,Gerta Krabbel (Aachen) Bundesvorsitzende des KDF,"Dr, ",1927,,,,,,,
tmp:gesis-ssoar-91722_ref-448_block-951798,,,,,,,,,,
tmp:gesis-ssoar-91722_ref-449_block-1496068,Anstellung einer zweiten hauptamtlichen Dozentin: Dr,,1941,Ma- ria Held,,,,book chapter,,
tmp:gesis-ssoar-91722_ref-450_block-1010456,,,,,,,,,,
tmp:gesis-ssoar-91722_ref-451_block-1375537,"Einweihung des Rudolf-Schwarz-Baus, mit Wohn- heim für 32 junge Frauen","Juli, ",,,,,,,,
tmp:gesis-ssoar-91722_ref-452_block-1159640,Erstmals im Sommer vierwöchige Mütterferien (unter Nut- zung der Internatszimmer,,,,,,,,,
tmp:gesis-ssoar-91722_ref-453_block-1010457,,,,,,,,,,
tmp:gesis-ssoar-91722_ref-454_block-1159641,Plätzen auf der 2. Etage des Hauses) durch die Hitlerjugend 6. März: Einweihung der Hauskapelle 24. September: Schließung der Jugendherberge durch die Hitlerjugend Dr. Offenberg und die hauptamtliche Dozentin Dr. Maria Held werden zu einem mehrstündigen Gestapo-Verhör gela- den wegen Verstoß gegen das Sammelgesetz (Hilfsaktion ei- ner Ehemaligen) 28. August: Einquartierung einer sächsischen FLAK-Abtei- lung 22. Juni: Urkunde über die Übergabe der Schule an die Pro- vinzialverwaltung 26,,,,,,,,,
tmp:gesis-ssoar-91722_ref-455_block-1375538,"Frauenschule für Volkspflege des Provinzialverbandes der Rheinprovinz; am Ende aufgrund des Krieges Umzug nach Euskirchen -1945 Leitung: Dr. Else Opp 28. Dezember: Vertrag des KDF mit der Stadt Aachen über die Neuerrichtung 1.-13. April: Nachschulungslehrgang für Wohlfahrtspflege- rinnen der Stadt Aachen Da der Schwarz-Bau nur teilweise zu benutzen war, wurde 1946/47 das ""Haus Kalverbenden",,2,,,,,,,
tmp:gesis-ssoar-91722_ref-456_block-1804482,,,,"Studienprogramm ""Euregio-Zertifikat Soziale Arbeit"" in Kooperation mit Hochschulen in Belgien und den Niederlan- den Zum WS 2006/07 Umwandlung der Diplom-Studiengänge in Bachelor-und Master-Abschlüsse (Bologna-Prozess",,,,book chapter,,
tmp:gesis-ssoar-91722_ref-457_block-913286,"Studiengang ""Soziale Arbeit""",,,,,,,book,Bachelor of Arts,
tmp:gesis-ssoar-91722_ref-458_block-1719014,-2011 Dekanin: Prof,"Studiengang ""Bildung und Erziehung im Kindesalter"", B.A., ",2012,Dr. Marianne Genenger-Stricker Umbenennung der Katholischen Fachhochschule NW in Ka- tholische Hochschule NRW (KatHO NRW,,,,book chapter,,
tmp:gesis-ssoar-91722_ref-459_block-1159642,"Familien-und Lebensberatung"", Master of Counseling (Kooperation mit den Bistümern Frei","Master-Studiengang ""Ehe-, ",,,,,,,,
tmp:gesis-ssoar-91722_ref-460_block-2086033,"Master of Arts Gründung des ""Instituts für Gesundheitsforschung und Sozi- ale Psychiatrie"" Autor_innenverzeichnis BAUR, JÖRG: Professor für das Lehrgebiet klinische Psychologie und Supervi- sion/Coaching an der Katholischen Hochschule NRW, Abt","Konsekutiver Master-Studiengang ""Soziale Arbeit"", ; NRW, Katholischen Hochschule; BÜCKEN, Abt Aachen; SUSANNE, Wissenschaftliche Mitarbeiterin an der Katholischen Hochschule; DELLER, Abt Aachen; ULRICH, Professor für das Lehrgebiet Fachwissenschaft Soziale Ar beit; Katholischen Hochschule NRW, Kooperationsmanagement; FLOREN, Abt Aachen; MIRIAM, Wissenschaftliche Mitarbeiterin an der Katholischen Hoch schule; FRIETERS-REERMANN, Abt Aachen; N O R B E R T, ",,Professor für das Lehrgebiet Gerontologie in der Sozia- len Arbeit und Pflege an der,,,,book chapter,Professor i.R,
tmp:gesis-ssoar-91722_ref-461_block-1159643,"Professor für das Lehrgebiet Politikwissen- schaft an der Katholischen Hochschule NRW, Abt","LAMMEL, UTE ANTONIA: Professorin für das Lehrgebiet Fachwissenschaft So- ziale Arbeit an der Katholischen Hochschule NRW, Abt. Aachen SCHERMAIER-STÖCKL, BARBARA: Professorin für das Lehrgebiet Recht in der Sozialen Arbeit an der Katholischen Hochschule NRW, Abt. Aachen SCHLÜTER, WOLFGANG: Professor i.R. für das Lehrgebiet Philosophie an der Katholischen Hochschule NRW, Abt. Aachen SÖDER, JOACHIM: Professor für das Lehrgebiet Philosophie an der Katholi- schen Hochschule NRW, Abt. Aachen SONNIER, JASMIN: Projektkoordinatorin ""Start Now"" an der Katholischen Hochschule NRW, Abt. Aachen und Köln SPETSMANN-KUNKEL, MARTIN, ",,,,,,,,
tmp:gesis-ssoar-92261_ref-0_block-1375539,Dual Specization studies of Computer Games,"Ameli, S R",2015,,,,,,Amirkabir Press,
doi:10.1177/1354856516686481,"We beat the cops in GTA: Po(ludic)al activism in the age of video games""","Demirbag-Kaplan, M; Kaplan-Oz, B",2018,Convergence,24,6,623-647,journal article,,
doi:10.22085/javm.2021.300662.1813.,"Video games and lifestyle challenges; Semiotic analysis of the game 'Grand Theft Auto'""","Goudarzi, F; Kavand, R; Sharifi, E",2021,Quarterly Journal of Audio_Visual Media,15,3,145-172,journal article,,
doi:10.22108/jas.2020.119685.1811.,"Identification in the Process of Video Games Case Study of Four Prominent Games: Duke Nukem, Grand Theft Auto (GTA), The Elder's Scrolls: Skyrim, and Call of Duty (COD)""","Haji Heidari, H; Akram, K",2020,Journal of Applied Sociology,31,3,35-56,journal article,,
tmp:gesis-ssoar-92261_ref-4_block-1496069,"Grand Theft Auto V' makes $800 million in 24 hours, poised to become world's fastest-selling game""","Holliste, S",2013,,,,,,,
doi:10.7508/ijcr.2009.07.001.,"Interactionability in Computer Game: Call of Duty""","Kousari, M; Shahghasemi, E",2009,Journal of Iranian Cultural Research,2,7,1-19,journal article,,
doi:10.22054/nms.2019.30672.439.,"Representation of ethnic and religious stereotypes in digital games and justification of aggressiveness in public spaces: The case study of Grand Theft Auto game""","Mehrabi, M",2019,New Media Studies,5,18,259-284,journal article,,
doi:10.1177/2043610619867701,"The best game in the world: Exploring young children's digital game-related meaning-making via design activity""","Mertala, P; Merilainen, M",2019,Global Studies of Childhoo,9,4,275-289,journal article,,
doi:10.1177/1555412014565639,"The Social Discourse of Video Games Analysis Model and Case Study: GTA IV""","Perez Latorre, O",2015,Games and Culture,10,5,415-437,journal article,,
doi:10.1177/1461444814521596,"World of Warcraft, the aftermath: How game elements transfer into perceptions, associations and (day) dreams in the everyday life of massively multiplayer online role-playing game players""","Poels, K; Ijsselsteijn, W A; Kort, Y",2014,New Media & Society,17,7,1137-1153,journal article,,
doi:10.5281/zenodo.3712225,"Top 5 GTA games based on their average critic reviews on Metacritic""","Sahbegovic, A",2021,,,,,,,
doi:10.1155/2010/897217,"Time and in Digital Game Storytelling""","Wei, H; Bizzocchi, J; Calvert, T",2010,Journal of Computer Game Technology,,,1-23,journal article,,
doi:10.1109/mahc.1983.10100,Radar Data Transmission,"Harrington, Vgl John",1983,IEEE Annals of the History of Computing,5,4,370-374,journal article,,
doi:10.1109/mahc.1985.10030,How the SAGE Development Began,"Valley, ",,,,,,,,
tmp:gesis-ssoar-92187_ref-2_block-1804484,Discussion,"Tropp, Henry; SAGE, Perspective",1983,IEEE Annals of the History of Computing,5,4,375-398,journal article,,
doi:10.1109/mahc.1983.10098,History of the Design of the SAGE Computer-The AN/FSQ- 7,"Jacobs, Vgl Morton Astrahan John",1983,IEEE Annals of the History of Computing,5,4,340-349,journal article,,
tmp:gesis-ssoar-92187_ref-4_block-951799,The closed world,"Edwards, ",,,,,101-102,,,
tmp:gesis-ssoar-92187_ref-5_block-1375540,,"Campbell-Kelly/Aspray, Computer",,,,,168-169,,,
tmp:gesis-ssoar-92187_ref-6_block-1245949,,"Vgl. Tropp, Perspective on",,,,,392,,,
tmp:gesis-ssoar-92187_ref-7_block-951800,The closed world,"Edwards, Vgl",,,,,104-111,,,
tmp:gesis-ssoar-92187_ref-8_block-1804485,,,,"In dieser Zeit schrieb er ein Programm, bei dem ein Computer die Rolle eines Lehrers einnimmt und einen Menschen beim Lernen von Fremdsprachen unterstützt, in dem er Vokabeln abfragt",,,,book chapter,,
doi:10.1145/1460833.1460847,On-line man-computer communication,"Clark, Vgl Licklider Welden",1962,"Proceedings of the May 1-3, 1962, spring joint computer conference -AIEE-IRE ›62",,,113,proceedings article,,"Barnard, G A"
doi:10.1109/thfe2.1960.4503259,Man-Computer Symbiosis,"Licklider, Vgl",1960,IRE Transactions on Human Factors in Electronics,1,,4-11,book chapter,,
tmp:gesis-ssoar-92187_ref-11_block-951802,,"ebenda, Vgl",,,,,4,,,
tmp:gesis-ssoar-92187_ref-12_block-100805,,"Ebenda, ",,,,,,,,
tmp:gesis-ssoar-92187_ref-13_block-951801,The dream machine,"Waldrop, Vgl",,,,,198-203,,,
tmp:gesis-ssoar-92187_ref-14_block-2028402,Computer-Kommunikation in den 1960er Jahren,"Friedewald, Michael; Mensch-, Konzepte",2000,"Douglas Engelbart und der Com- puter als Intelligenzverstärker, in: Technikgeschichte",67,,1-24,book chapter,,"Licklider, J C R"
tmp:gesis-ssoar-92187_ref-15_block-1719015,,"Campbell-Kelly/Aspray, Vgl; Computer, ",,,,,208-209,,,
doi:10.1109/85.145324,CTSS-the compatible time-sharing system,"Daley, Corbato Merwin Daggett",1992,IEEE Annals of the History of Computing,14,1,31-54,journal article,,
econbiz:10000577947,,,,The Compatible Time Sharing System,,,,book chapter,,"Vleck, Walden van"
tmp:gesis-ssoar-92187_ref-18_block-1637539,,,,The Compatible Time Sharing System,,,11,book chapter,,"Vleck, Vgl Walden van"
tmp:gesis-ssoar-92187_ref-19_block-2081364,,"Vleck, Vgl; Mail, Electronic; CTSS, Text Messaging",1965,IEEE Annals of the History of Computing,34,1,4-6,journal article,,
doi:10.14361/9783839408964,Die Geschichte der E-Mail,"Siegert, ",,,,,190-197,,,
doi:10.1109/mahc.2008.3,Economic Perspectives on the History of the Computer Time,"Campbell-Kelly/Carcia-Swartz, Vgl",,Sharing Industry,,,18,journal article,,
tmp:gesis-ssoar-92187_ref-22_block-1933590,"Zur Gründungsgeschichte von Tymshare siehe: Lee, Rise and fall of the GE computer department, S. 38; Tymes, Oral History of LaRoy Tymes",,2017,"Zur Geschichte von Tymshare von 1965 bis 1984: Jeffrey R. Yost, Making IT work. A history of the computer services industry",,,153-176,book chapter,,
doi:10.1109/mahc.2008.3,Economic Perspectives on the History of the Computer Time,"Campbell-Kelly/Carcia-Swartz, Vgl",,Sharing Industry,,,17,journal article,,
tmp:gesis-ssoar-92187_ref-24_block-951802,,"ebenda, Vgl",,,,,,,,
tmp:gesis-ssoar-92187_ref-25_block-1245955,"GE Information Service 1985, 20 Years of Excellence","Vgl, ",,,,,5,,,
tmp:gesis-ssoar-92187_ref-26_block-1637540,"218; GE Information Service 1985, 20 Years of Excellence","Campbell-Kelly/Aspray, Vgl; Computer, S",,,,,8,,,
doi:10.1109/mahc.2008.3,Economic Perspectives on the History of the Computer Time,"Campbell-Kelly/Carcia-Swartz, Vgl",,Sharing Industry,,,23-24,journal article,,
tmp:gesis-ssoar-92187_ref-28_block-2028403,Technikgeschichte und Heilsgeschehen«. Endzeiterwar- tungen in technischen Zukunftsszenarien für das Jahr 2000,"Hans Dieter Hellige, Siehe",2004,Bür- gerliche Gesellschaft -Idee und Wirklichkeit. Festschrift für Manfred Hahn,,,361-374,book chapter,,"Schöck-Quinteros, Eva"
tmp:gesis-ssoar-92187_ref-29_block-951803,The computerized society,"Martin/Norman, Vgl",,,,,505-507,,,
openalex:W635431977,"507-522. In der Bundesrepublik wurden diese Instrumente in den 1970er Jahren unter dem Begriff »Datenschutz« übernommen. Siehe zur Debatte in den USA und dem Transfer in die Bundesrepublik: Hans Peter Bull, Datenschutz oder Die Angst vor dem Computer","Vgl. ebenda, S., ",1984,,,,73-87,,,
tmp:gesis-ssoar-92187_ref-31_block-951804,The computerized society,"Martin Norman, ",,,,,523-554,,,
tmp:gesis-ssoar-92187_ref-32_block-100805,,"Ebenda, ",,,,,555-563,,,
tmp:gesis-ssoar-92187_ref-33_block-1375552,,"Levy, Vgl; Hackers, ",,,,,158-163,,,
dnb:DE-599-DNB953120708-OCoLC-722890004-99-A20-0033,Community Networks in den USA,"Wagner, Rose",1998,Von der Coun- terculture zum Mainstream?,,,126-127,book chapter,,
dnb:DE-599-DNB953120708-OCoLC-722890004-99-A20-0033,Community Networks in den USA,"Wagner, Vgl",,,,,128-129,,,
doi:10.14361/transcript.9783839425923.385,"Siehe zu den Besonderheiten des »XDS-940«-Computer und den technischen Details des Systems: Stefan Höltgen, »All watched over by machines of loving grace«. Öffentliche Erinnerungen, demo- kratische Informationen und restriktive Technologien am Beispiel der »Community Memory«",,2014,"Big Data. Analysen zum digitalen Wandel von Wissen, Macht und Ökono",,,385-403,book chapter,,"Reichert, Ramón"
tmp:gesis-ssoar-92187_ref-37_block-1804486,164. speech movement,"Levy, Vgl; Hackers, S",1993,Coming of age in the 1960's,,,258-262,book chapter,,
tmp:gesis-ssoar-92187_ref-38_block-913287,Samet,"Vgl, ",,,,,,book,Computers and Communications,
tmp:gesis-ssoar-92187_ref-39_block-1933591,T]he offering of a pure transmission capability over a communications path that is virtually trans- parent in terms of its interaction with customer supplied information,,1980,"Federal Communication Commission, Amendment of Section 64.702 of the Commission's Rules and Regulations (Second Computer Inquiry), Final Decision",,,420,book chapter,,
tmp:gesis-ssoar-92187_ref-40_block-1159644,"Als »enhanced services« galten insbesondere: »services, offered over common carrier transmis- sion facilities used in interstate communications, which employ computer processing applications that act on the format, content, code, protocol or similar aspects of the subscriber's transmitted",,,,,,,,,
tmp:gesis-ssoar-92187_ref-41_block-1375541,"326. Zum Wiederaufbau des Telefonnetzes siehe auch: Horst A. Wessel, Die Ver- breitung des Telephons bis zur Gegenwart","Vgl. ebenda, S., ",,Vom Flügeltelegraphen zum Internet,,,67-112,book chapter,,"Teuteberg Neutsch, "
tmp:gesis-ssoar-92187_ref-42_block-1804487,"In Ortsnetzen mit mehr als 1.000 Anschlüssen betrug die Grundgebühr im Jahr 1954 12 DM, erst 1964 wurde sie auf 18",,1979,Geschichte der deutschen Post 1945,,,397,book chapter,,"Vgl. Steinmetz/Elias, D M"
